Reservation Id|Name|Email|Type|Hotel|Refundable|Check In|Num Nights|Total Cost|Deposit|Creation Date|Cancellation Date|Rooms Reserved|Paid|Cancelled|Complete|PricingStrategy|Checked In|AdditionalCosts
hWVW8sEda|n|n|Standard|Miggy's Motel|false|2024-12-14|3|92.0|0.0|2024-12-12|null|Single Room (1 Single Bed):1,|false|false|true|Regular: No price change|false|[0]
CLNW3kKpt|nicky g|nickyg@test.com|Standard|Miggy's Motel|true|2024-12-20|2|780.0|39.0|2024-12-13|2024-12-13|Single Room (1 Single Bed):3,Standard Double Room:0,Triple Room (3 Single Beds):0,|false|true|false|Regular: No price change|false|[0]
GE7EzxFpu|Testing 2|test@test2.com|Standard|Miggy's Motel|false|2024-12-16|2|431.0|0.0|2024-12-13|null|Single Room (1 Single Bed):2,|true|false|false|Regular: No price change|false|[0]
zs1E9lC3e|blaj|blah@gmail.com|Standard|Miggy's Motel|true|2025-01-20|3|4560.0|228.0|2024-12-13|null|Single Room (1 Single Bed):4,Standard Double Room:5,|false|false|false|Regular: No price change|false|[0]
Y3tr3nfJr|Nicky|nicky@test.com|Advance Purchase|Miggy's Motel|true|2024-12-23|3|741.0|0.0|2024-12-13|2024-12-13|Single Room (1 Single Bed):2,|true|true|false|Regular: No price change|false|[0]
JGXwq4yck|Mary Smith|marysmith@gmail.com|Advance Purchase|Miggy's Motel|true|2024-12-30|4|2413.38|0.0|2024-12-13|null|Single Room (1 Single Bed):3,Standard Double Room:0,Triple Room (3 Single Beds):1,|true|false|false|Promotional: 13% discount|false|[0]
APZJmg3DT|Jane Doe|janedoe@gmail.com|Advance Purchase|Miggy's Motel|true|2024-12-30|4|3242.0|360.24|2024-12-13|null|Single Room (1 Single Bed):3,Standard Double Room:2,|true|false|false|Seasonal: 20% increase|false|[0]
wT0OXGLHG|Nicole|nicole@gmail.com|Advance Purchase|Miggy's Motel|true|2024-12-30|4|3982.2|398.22|2024-12-13|null|Single Room (1 Single Bed):1,Standard Double Room:2,Triple Room (3 Single Beds):1,|true|false|false|Seasonal: 20% increase|false|[5, 10]
I6n5YQlkw|Nicole|nicole@gmail.com|Standard|Miggy's Motel|true|2025-01-10|4|1200.0|63.150000000000006|2024-12-13|2024-12-13|Single Room (1 Single Bed):2,|false|true|false|Seasonal: 20% increase|false|[5, 10]
5H1BJxkic|Nicole|nicole@gmail.com|Advance Purchase|Miggy's Motel|true|2024-12-30|4|3982.2|398.22|2024-12-13|2024-12-13|Single Room (1 Single Bed):1,Standard Double Room:2,Triple Room (3 Single Beds):1,|true|true|false|Seasonal: 20% increase|false|[5, 10]
aWqAgsu1j|nicole|nicole.berty@gmail.com|Advance Purchase|Miggy's Motel|true|2024-12-30|4|5441.4|544.14|2024-12-13|null|Single Room (1 Single Bed):3,Standard Double Room:4,|true|false|true|Seasonal: 20% increase|false|[5, 10]
4r7u6Xxv7|nicole|nicole@gmail.com|Advance Purchase|Miggy's Motel|true|2024-12-30|4|3017.0|394.914|2024-12-13|null|Single Room (1 Single Bed):3,Standard Double Room:4,|true|false|true|Promotional: 13% discount|true|[5, 10]
